x,y,order
0.0,0.0,0
0.0694444444444444,0.0629370629370629,1
0.1944444444444444,0.0979020979020979,2
0.2916666666666667,0.1118881118881118,3
0.2916666666666667,0.2097902097902098,4
0.3680555555555556,0.3706293706293706,5
0.5208333333333334,0.3006993006993007,6
0.4861111111111111,0.2377622377622377,7
0.6458333333333334,0.2797202797202797,8
0.5972222222222222,0.1748251748251748,9
0.7638888888888888,0.1818181818181818,10
0.7708333333333334,0.1048951048951049,11
0.8263888888888888,0.1608391608391608,12
0.9027777777777778,0.1118881118881118,13
0.8888888888888888,0.2587412587412587,14
0.9236111111111112,0.3496503496503496,15
0.9583333333333334,0.4265734265734265,16
1.0,0.4755244755244755,17
0.8888888888888888,0.4685314685314685,18
0.8472222222222222,0.4195804195804196,19
0.7638888888888888,0.4615384615384615,20
0.5,0.5244755244755245,21
0.5416666666666666,0.5524475524475524,22
0.5555555555555556,0.6433566433566433,23
0.4722222222222222,0.7272727272727273,24
0.5972222222222222,0.7832167832167832,25
0.5208333333333334,0.8741258741258742,26
0.6944444444444444,0.965034965034965,27
0.8541666666666666,0.9090909090909092,28
0.9861111111111112,0.8671328671328671,29
0.9444444444444444,0.7412587412587412,30
0.9722222222222222,0.6993006993006993,31
0.8472222222222222,0.6573426573426573,32
0.6875,0.7552447552447552,33
0.3680555555555556,0.7902097902097902,34
0.2986111111111111,0.7272727272727273,35
0.3333333333333333,0.8671328671328671,36
0.3472222222222222,0.972027972027972,37
0.4305555555555556,0.993006993006993,38
0.0833333333333333,1.0,39
0.0,0.986013986013986,40
0.0555555555555555,0.902097902097902,41
0.1597222222222222,0.7412587412587412,42
0.2569444444444444,0.5944055944055944,43
0.2569444444444444,0.5384615384615384,44
0.1736111111111111,0.4055944055944055,45
0.0069444444444444,0.3706293706293706,46
0.0069444444444444,0.2517482517482518,47
0.0763888888888889,0.1538461538461538,48
0.1319444444444444,0.2237762237762237,49
0.0694444444444444,0.0069930069930069,50
0.0,0.0,51
