order,x,y
0,0.0,0.0
1,0.05,0.05
2,68.41755014672498,0.0
3,23.66489970655006,3.1411447721783565
4,45.62985833988044,1.969489022050336
5,90.24028332023912,0.0
6,123.24858338655169,32.57301675897045
7,166.00283322689666,46.61132579493916
8,122.50087670631008,38.12173392991512
9,167.49824658737987,37.63521179661049
10,88.16554769979246,56.3099746892823
11,128.70443850634808,75.84451671550241
12,87.98703639781479,56.943139668153165
13,128.52592720437042,76.47768169437327
14,66.12449461180267,114.78237369259152
15,95.56471927537964,80.74896111380191
16,38.5469037938118,102.0512838665464
17,83.40619241237638,98.49541201335474
18,43.501274728959615,93.17043507112388
19,1.4974505420807631,109.31598410724436
20,2.6883091508250327,134.39895085117405
21,30.087847792417183,98.70209829765192
22,98.40417866930154,113.02798675128685
23,118.19164266139693,153.44402649742636
24,96.31111439571175,114.14401495651651
25,123.87777120857648,149.71197008696697
26,81.01769205532615,153.57475265580268
27,121.4646158893477,133.85049468839463
28,99.06306730400418,150.59403265136038
29,55.37386539199164,139.81193469727924
30,91.23267346707904,120.07019468145674
31,50.03465306584188,138.1733191360708
32,0.5000015894561116,147.006905337127
33,45.49999682108778,146.986189325746
34,1.502595102685115,134.21488019533084
35,46.494809794629774,133.3778514539132
36,0.0,131.17980114461028
37,16.027806204610762,93.14039771077944
