order,x,y
0,0.0,0.0
1,44.1913030826423,-7.995675460179335
2,6.117393834715401,15.99135092035867
3,1.5177984617365254,0.730504665868443
4,46.46440307652695,-1.461009331736886
5,3.151007136398155,12.411789019533224
6,29.440626414322985,48.933781273814255
7,-10.235183055354272,18.53455300394057
8,20.470366110708547,51.43089399211885
9,39.792111411403255,57.17936230560009
10,0.74420430193938,34.81284826405394
11,2.502591985204326,13.256691947571897
12,47.49481602959135,14.093217822654395
13,78.39083135842377,49.24561867978927
14,43.98179325044342,20.245306673130514
15,100.38502645835013,34.8879192993421
16,113.10862673973952,-8.275838598684203
17,100.3850264583504,34.8879192993421
18,113.1086267397398,-8.275838598684203
19,157.11677726954434,26.25786530380158
20,116.1806590232844,7.570055830023751
21,156.0526785771537,38.84631441465672
22,116.72306997043876,16.978944045940388
23,81.1234140230238,-4.279459737701838
24,124.2531719539524,8.558919475403677
25,147.98005143581426,26.467949064022047
26,145.03989712837148,-18.43589812804409
27,143.71475846607646,18.86418133264204
28,153.57048306784708,62.77163733471592
29,153.72487855431078,110.9080575934686
30,133.55024289137845,70.6838848130628
31,150.29572947539924,112.86653946515096
32,140.40854104920152,156.76692106969813
33,111.28016518344766,110.62774942981171
34,154.48992216479903,123.19424860868214
35,99.2589581792202,99.442768920709
36,68.50289892173062,66.59364687841101
37,146.33932071689168,154.48544303265243
38,148.32135856621665,109.52911393469512
39,108.89562419187196,130.83708130911089
40,152.70875161625605,141.1040119748301
41,95.4447117197501,156.07324979993743
42,59.610576560499794,128.85350040012514
43,49.42390457225072,141.81699532038647
44,91.65219085549856,157.36600935922706
45,60.27942606484093,149.5629212227262
46,15.941147870318131,141.8741575545476
47,43.5800449034997,94.04668542223236
48,1.339910193000602,109.56348340502797
49,39.5297322745467,90.5609336304626
50,84.4405354509066,93.39285136483656
51,99.2589581792204,99.44276892070876
52,68.50289892173085,66.59364687841078
