end_c,end_r,flipped_head_c,flipped_head_r
28.48664995451329,72.56788611096208,7.526700090973424,73.86422777807584
24.90667489827444,63.17962471507421,5.686650203451123,71.64075056985158
39.461936111974495,8.729003136334434,18.57612777605101,6.541993727331134
29.358285451101374,74.59860045982197,8.783429097797253,78.80279908035607
69.2744711465008,29.237461862759265,48.951057706998384,34.52507627448148
73.2190063125813,82.09016476884429,92.0619873748374,72.81967046231142
96.40781021757255,35.35697239248477,92.18437956485491,14.786055215030458
72.99466954766923,40.75172937267877,61.010660904661535,57.996541254642466
33.65702392209053,56.47433998696322,54.18595215581894,52.051320026073554
34.748342292477744,62.010208825577486,52.00331541504451,73.97958234884504
29.492201978388902,87.59254268332693,47.51559604322219,76.81491463334615
32.75952454916443,69.84947648291697,46.980950901671136,85.30104703416606
69.453477259532,26.194299062200276,48.593045480936,28.611401875599448
70.54306002565635,38.01235744113869,50.913879948687324,45.47528511772262
70.48721285939526,27.57708575632693,49.52557428120949,28.84582848734614
78.45619924251521,69.07826033582062,81.58760151496958,89.84347932835877
67.49833500648003,103.84733324829548,46.50332998703992,104.30533350340903
53.60469504873556,83.77430517202795,71.2906099025289,72.4513896559441
57.695553266323294,96.64301693495729,78.1088934673534,91.71396613008542
55.461115758651914,88.73679535465962,34.57776848269617,86.52640929068076
4.559392688986537,93.90992865341546,25.381214622026924,91.18014269316907
3.500012582473734,103.9867276801595,24.499974835052534,104.02654463968099
3.1918534715073363,92.58740866852114,17.616293056985327,77.32518266295773
4.50311510424654,94.2088103339806,25.49376979150692,93.58237933203881
